QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,COUNTRY,DEALSIZE
30,95.7,2871,24/02/2018,USA,Small
34,81.35,2765.9,7/5/2018,France,Small
41,94.74,3884.34,1/7/2018,France,Medium
45,83.26,3746.7,25/08/2018,USA,Medium
36,96.66,3479.76,28/10/2018,,Medium
29,,2497.77,11/11/2018,France,Small
48,114.84,5512.32,18/11/2018,Norway,Medium
41,114.84,4708.44,15/01/2019,France,Medium
37,107.18,3965.66,20/02/2019,Australia,
23,101.44,2333.12,5/4/2019,USA,Small
28,113.88,3188.64,18/05/2019,USA,Medium
34,108.14,3676.76,,USA,Medium
45,92.83,4177.35,23/07/2019,France,Medium
36,113.88,4099.68,27/08/2019,USA,Medium
23,112.93,2597.39,30/09/2019,Finland,Small
41,107.18,4394.38,15/10/2019,Norway,Medium
46,94.74,4358.04,2/11/2019,USA,
42,104.67,4396.14,15/11/2019,USA,Medium
41,188.73,7737.93,24/11/2019,Austria,Large
20,72.55,1451,17/12/2019,Australia,Small
21,34.91,733.11,3/2/2020,France,Small
42,76.36,3207.12,3/3/2020,USA,Medium
24,101.44,2434.56,8/4/2020,UK,Small
66,113.88,7516.08,13/05/2020,Spain,Large
26,207.87,,29/01/2018,Norway,Medium
29,248.59,7209.11,24/03/2018,Sweden,Large
38,192.87,7329.06,28/05/2018,Spain,Large
37,199.3,7374.1,24/07/2018,USA,Large
45,244.3,10993.5,19/09/2018,Singapore,Large
21,231.44,4860.24,20/10/2018,USA,Medium
34,235.73,8014.82,6/11/2018,Australia,Large
23,233.59,5372.57,13/11/2018,USA,Medium
42,173.58,7290.36,25/11/2018,,Large
47,192.87,9064.89,5/12/2018,Canada,Large
35,173.58,6075.3,29/01/2019,USA,Medium
29,222.87,6463.23,10/3/2019,USA,Medium
34,180.01,6120.34,4/5/2019,USA,Medium
32,240.02,7680.64,15/06/2019,Japan,Large
21,233.59,4905.39,19/07/2019,Australia,Medium
34,235.73,8014.82,17/08/2019,Italy,Large
37,192.87,7136.19,8/9/2019,Sweden,Large
47,216.44,10172.7,11/10/2019,France,Large
48,242.16,11623.7,21/10/2019,USA,Large
40,150.01,6000.4,4/11/2019,USA,Medium
30,131.49,3944.7,29/11/2019,Australia,Medium
32,177.87,5691.84,10/12/2019,USA,Medium
41,110.12,4514.92,20/01/2020,USA,Medium
24,100.69,2416.56,9/3/2020,,Small
23,180.01,4140.23,1/5/2020,Canada,Medium
50,240.02,12001,31/05/2020,Spain,Large
39,99.91,3896.49,24/02/2018,USA,Medium
29,96.34,2793.86,29/04/2018,Australia,Small
27,122.51,3307.77,1/7/2018,France,Medium
37,140.35,5192.95,25/08/2018,USA,
27,135.59,3660.93,28/10/2018,USA,Medium
42,111.8,4695.6,11/11/2018,France,Medium
38,96.34,3660.92,18/11/2018,Norway,Medium
23,130.83,3009.09,12/1/2019,Japan,Medium
47,115.37,5422.39,20/02/2019,Australia,Medium
22,129.64,2852.08,3/4/2019,USA,Small
44,130.83,5756.52,18/05/2019,USA,Medium
40,111.8,4472,28/06/2019,USA,Medium
22,132.02,2904.44,23/07/2019,France,Small
47,137.97,6484.59,27/08/2019,USA,Medium
39,96.34,3757.26,27/09/2019,,Medium
34,118.94,4043.96,15/10/2019,USA,Medium
45,123.7,5566.5,,USA,Medium
20,158.8,3176,15/11/2019,USA,Medium
40,68.92,2756.8,23/11/2019,Japan,Small
26,51.15,1329.9,17/12/2019,Australia,Small
39,135.59,5288.01,2/2/2020,Australia,Medium
50,44.51,2225.5,3/3/2020,USA,Small
45,129.64,5833.8,7/4/2020,France,Medium
45,130.83,5887.35,13/05/2020,Spain,Medium
27,224.65,6065.55,24/02/2018,USA,Medium
46,201.41,9264.86,29/04/2018,Australia,Large
31,226.58,7023.98,1/7/2018,France,Large
33,156.86,5176.38,25/08/2018,USA,Medium
20,209.15,4183,28/10/2018,USA,Medium
41,216.9,8892.9,11/11/2018,,Large
45,193.66,8714.7,18/11/2018,Norway,Large
34,180.1,6123.4,12/1/2019,Japan,Medium
49,199.47,9774.03,20/02/2019,Australia,
39,180.1,7023.9,5/4/2019,USA,Large
43,164.61,7078.23,18/05/2019,USA,Large
41,203.34,8336.94,28/06/2019,USA,Large
36,191.72,6901.92,23/07/2019,France,Medium
27,201.41,5438.07,27/08/2019,USA,Medium
29,230.46,6683.34,30/09/2019,Finland,Medium
20,228.52,4570.4,15/10/2019,USA,Medium
37,207.22,7667.14,2/11/2019,USA,Large
26,225.7,5868.2,15/11/2019,USA,Medium
39,76.67,2990.13,23/11/2019,Japan,Small
22,166.55,3664.1,5/1/2020,USA,Medium
22,174.29,3834.38,2/2/2020,Australia,Medium
,86.77,1822.17,3/3/2020,USA,Small
66,180.1,11886.6,8/4/2020,UK,Large
56,164.61,9218.16,13/05/2020,Spain,Large
50,144.16,7208,11/2/2018,Denmark,
46,108.8,5004.8,28/04/2018,Austria,Medium
33,133.28,4398.24,12/6/2018,UK,Medium
49,114.24,5597.76,10/8/2018,USA,Medium
32,141.44,4526.08,6/10/2018,Finland,Medium
